timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/05/04 18:17:51.382, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:51.383, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:51.385, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:51.386, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:52.387, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:52.391, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:52.394, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:52.397, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:52.398, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:53.399, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:53.403, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:53.405, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:53.406, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:53.407, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:54.408, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:54.410, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:54.411, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:54.414, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:54.415, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:55.416, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:55.420, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:55.422, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:55.424, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:55.424, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:56.426, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:56.427, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:56.429, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:56.432, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:56.432, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:57.434, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:57.438, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:57.439, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:57.441, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:57.441, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:58.443, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:58.444, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:58.446, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:58.448, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:58.448, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:59.450, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:59.454, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:59.455, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:59.457, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:59.457, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:00.459, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:00.460, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:00.462, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:00.464, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:18:00.464, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:01.466, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:01.470, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:01.472, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:01.473, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:18:01.474, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:02.475, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:02.477, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:02.478, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:02.480, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:18:02.481, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:03.482, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:03.488, 0 %, 0 %, 13 MiB, 81920 MiB
